Family #,Family starter,First converging pair,Convergence number,÷2 once,÷2 twice,÷2 three times,Exact divisions,Odd result after all ÷2
1,1,"1, 3",4,Yes,Yes,No,2,1
2,9,"9, 19",22,Yes,No,No,1,11
3,13,"27, 55",94,Yes,No,No,1,47
4,21,"43, 87",148,Yes,Yes,No,2,37
5,25,"25, 51",58,Yes,No,No,1,29
6,33,"33, 67",76,Yes,Yes,No,2,19
7,37,"75, 151",256,Yes,Yes,Yes,8,1
8,45,"91, 183",310,Yes,No,No,1,155
9,49,"49, 99",112,Yes,Yes,Yes,4,7
10,57,"57, 115",130,Yes,No,No,1,65
11,61,"123, 247",418,Yes,No,No,1,209
12,69,"139, 279",472,Yes,Yes,Yes,3,59
13,73,"73, 147",166,Yes,No,No,1,83
14,81,"81, 163",184,Yes,Yes,Yes,3,23
15,85,"171, 343",580,Yes,Yes,No,2,145
16,93,"187, 375",634,Yes,No,No,1,317
17,97,"97, 195",220,Yes,Yes,No,2,55
18,105,"105, 211",238,Yes,No,No,1,119
19,109,"219, 439",742,Yes,No,No,1,371
20,117,"235, 471",796,Yes,Yes,No,2,199
21,121,"121, 243",274,Yes,No,No,1,137
22,129,"129, 259",292,Yes,Yes,No,2,73
23,133,"267, 535",904,Yes,Yes,Yes,3,113
24,141,"283, 567",958,Yes,No,No,1,479
25,145,"145, 291",328,Yes,Yes,Yes,3,41
26,153,"153, 307",346,Yes,No,No,1,173
27,157,"315, 631",1066,Yes,No,No,1,533
28,165,"331, 663",1120,Yes,Yes,Yes,5,35
29,169,"169, 339",382,Yes,No,No,1,191
30,177,"177, 355",400,Yes,Yes,Yes,4,25
31,181,"363, 727",1228,Yes,Yes,No,2,307
32,189,"379, 759",1282,Yes,No,No,1,641
33,193,"193, 387",436,Yes,Yes,No,2,109
34,201,"201, 403",454,Yes,No,No,1,227
35,205,"411, 823",1390,Yes,No,No,1,695
36,213,"427, 855",1444,Yes,Yes,No,2,361
37,217,"217, 435",490,Yes,No,No,1,245
38,225,"225, 451",508,Yes,Yes,No,2,127
39,229,"459, 919",1552,Yes,Yes,Yes,4,97
40,237,"475, 951",1606,Yes,No,No,1,803
41,241,"241, 483",544,Yes,Yes,Yes,5,17
42,249,"249, 499",562,Yes,No,No,1,281
43,253,"507, 1015",1714,Yes,No,No,1,857
44,261,"523, 1047",1768,Yes,Yes,Yes,3,221
45,265,"265, 531",598,Yes,No,No,1,299
46,273,"273, 547",616,Yes,Yes,Yes,3,77
47,277,"555, 1111",1876,Yes,Yes,No,2,469
48,285,"571, 1143",1930,Yes,No,No,1,965
49,289,"289, 579",652,Yes,Yes,No,2,163
50,297,"297, 595",670,Yes,No,No,1,335
51,301,"603, 1207",2038,Yes,No,No,1,1019
52,309,"619, 1239",2092,Yes,Yes,No,2,523
53,313,"313, 627",706,Yes,No,No,1,353
54,321,"321, 643",724,Yes,Yes,No,2,181
55,325,"651, 1303",2200,Yes,Yes,Yes,3,275
56,333,"667, 1335",2254,Yes,No,No,1,1127
57,337,"337, 675",760,Yes,Yes,Yes,3,95
58,345,"345, 691",778,Yes,No,No,1,389
59,349,"699, 1399",2362,Yes,No,No,1,1181
60,357,"715, 1431",2416,Yes,Yes,Yes,4,151
61,361,"361, 723",814,Yes,No,No,1,407
62,369,"369, 739",832,Yes,Yes,Yes,6,13
63,373,"747, 1495",2524,Yes,Yes,No,2,631
64,381,"763, 1527",2578,Yes,No,No,1,1289
65,385,"385, 771",868,Yes,Yes,No,2,217
66,393,"393, 787",886,Yes,No,No,1,443
67,397,"795, 1591",2686,Yes,No,No,1,1343
68,405,"811, 1623",2740,Yes,Yes,No,2,685
69,409,"409, 819",922,Yes,No,No,1,461
70,417,"417, 835",940,Yes,Yes,No,2,235
71,421,"843, 1687",2848,Yes,Yes,Yes,5,89
72,429,"859, 1719",2902,Yes,No,No,1,1451
73,433,"433, 867",976,Yes,Yes,Yes,4,61
74,441,"441, 883",994,Yes,No,No,1,497
75,445,"891, 1783",3010,Yes,No,No,1,1505
76,453,"907, 1815",3064,Yes,Yes,Yes,3,383
77,457,"457, 915",1030,Yes,No,No,1,515
78,465,"465, 931",1048,Yes,Yes,Yes,3,131
79,469,"939, 1879",3172,Yes,Yes,No,2,793
80,477,"955, 1911",3226,Yes,No,No,1,1613
81,481,"481, 963",1084,Yes,Yes,No,2,271
82,489,"489, 979",1102,Yes,No,No,1,551
83,493,"987, 1975",3334,Yes,No,No,1,1667
84,501,"1003, 2007",3388,Yes,Yes,No,2,847
85,505,"505, 1011",1138,Yes,No,No,1,569
86,513,"513, 1027",1156,Yes,Yes,No,2,289
87,517,"1035, 2071",3496,Yes,Yes,Yes,3,437
88,525,"1051, 2103",3550,Yes,No,No,1,1775
89,529,"529, 1059",1192,Yes,Yes,Yes,3,149
90,537,"537, 1075",1210,Yes,No,No,1,605
91,541,"1083, 2167",3658,Yes,No,No,1,1829
92,549,"1099, 2199",3712,Yes,Yes,Yes,7,29
93,553,"553, 1107",1246,Yes,No,No,1,623
94,561,"561, 1123",1264,Yes,Yes,Yes,4,79
95,565,"1131, 2263",3820,Yes,Yes,No,2,955
96,573,"1147, 2295",3874,Yes,No,No,1,1937
97,577,"577, 1155",1300,Yes,Yes,No,2,325
98,585,"585, 1171",1318,Yes,No,No,1,659
99,589,"1179, 2359",3982,Yes,No,No,1,1991
100,597,"1195, 2391",4036,Yes,Yes,No,2,1009
